"SNP" "perm_var" "beta" "maf" "true_var" "perm_bias"
"46" "SNP1" 0.00990512801146761 -0.0414072488545379 0.05 0.00962368421052632 0.000281443800941295
"47" "SNP1" 0.0117195502258224 -0.0811428030336468 0.05 0.00962368421052632 0.00209586601529608
"48" "SNP1" 0.00966070517511232 -0.0869193742184416 0.05 0.00962368421052632 3.70209645860053e-05
"49" "SNP1" 0.00831266298574326 0.0032003435809903 0.05 0.00962368421052632 -0.00131102122478306
"50" "SNP1" 0.0093349563773636 -0.033045157381117 0.05 0.00962368421052632 -0.000288727833162715
"51" "SNP1" 0.00901159345294063 -0.0518573585860713 0.05 0.00962368421052632 -0.000612090757585686
"52" "SNP1" 0.010569792466625 -0.00192366229048946 0.05 0.00962368421052632 0.000946108256098685
"53" "SNP1" 0.0105141359514421 -0.00140642234459905 0.05 0.00962368421052632 0.000890451740915784
"54" "SNP1" 0.0100666062221423 0.0655143222876879 0.05 0.00962368421052632 0.000442922011615984
"55" "SNP1" 0.00932208990682229 0.152097179355566 0.05 0.00962368421052632 -0.000301594303704026
"56" "SNP1" 0.0103488894135929 0.167228587299879 0.05 0.00962368421052632 0.000725205203066584
"57" "SNP1" 0.0101401809928368 0.0717878960817177 0.05 0.00962368421052632 0.000516496782310484
"58" "SNP1" 0.00881395048412025 0.00628557508166071 0.05 0.00962368421052632 -0.000809733726406065
"59" "SNP1" 0.010369244657946 0.105068720967121 0.05 0.00962368421052632 0.000745560447419684
"60" "SNP1" 0.0107858181469511 0.125089339717154 0.05 0.00962368421052632 0.00116213393642478
"61" "SNP1" 0.00892536156103626 0.0448835078814061 0.05 0.00962368421052632 -0.000698322649490055
"62" "SNP1" 0.00974849668912422 -0.0280780399406572 0.05 0.00962368421052632 0.000124812478597905
"63" "SNP1" 0.0114289843084879 -0.0622500185013817 0.05 0.00962368421052632 0.00180530009796158
"64" "SNP1" 0.00865776017394195 0.00112015865304156 0.05 0.00962368421052632 -0.000965924036584366
"65" "SNP1" 0.0100589120810522 0.0743830426997418 0.05 0.00962368421052632 0.000435227870525884
"66" "SNP1" 0.0100968296531417 0.0516564392617506 0.05 0.00962368421052632 0.000473145442615385
"67" "SNP1" 0.0103169758718604 0.0524264757139225 0.05 0.00962368421052632 0.000693291661334085
"68" "SNP1" 0.00790360284510011 0.00472009665275394 0.05 0.00962368421052632 -0.0017200813654262
"69" "SNP1" 0.0101296680966353 -0.0497383882896757 0.05 0.00962368421052632 0.000505983886108985
"70" "SNP1" 0.00837170917117075 0.0924672122841227 0.05 0.00962368421052632 -0.00125197503935557
"71" "SNP1" 0.00987431481273978 0.133849058981398 0.05 0.00962368421052632 0.000250630602213465
"72" "SNP1" 0.0105126376757411 0.148282990345379 0.05 0.00962368421052632 0.000888953465214785
"73" "SNP1" 0.0110036806041945 -0.0498212794838264 0.05 0.00962368421052632 0.00137999639366818
"74" "SNP1" 0.0093926891087089 0.132913315543355 0.05 0.00962368421052632 -0.000230995101817415
"75" "SNP1" 0.00994453072846631 -0.0962953616518526 0.05 0.00962368421052632 0.000320846517939994
"76" "SNP1" 0.0093835719484159 -0.110663103577542 0.05 0.00962368421052632 -0.000240112262110416
"77" "SNP1" 0.0108177320829708 0.148644636506229 0.05 0.00962368421052632 0.00119404787244448
"78" "SNP1" 0.00845058618075711 0.0774857007119351 0.05 0.00962368421052632 -0.00117309802976921
"79" "SNP1" 0.0116480565316704 -0.0920837043854099 0.05 0.00962368421052632 0.00202437232114409
"80" "SNP1" 0.00955021353358563 0.0480418153365387 0.05 0.00962368421052632 -7.34706769406849e-05
"81" "SNP1" 0.00920633632370404 -0.0671068454434435 0.05 0.00962368421052632 -0.000417347886822276
"82" "SNP1" 0.00901499505937492 -0.0908533158734858 0.05 0.00962368421052632 -0.000608689151151396
"83" "SNP1" 0.00995599472460382 -0.074517190749405 0.05 0.00962368421052632 0.000332310514077505
"84" "SNP1" 0.00908975155949705 0.0596861630918597 0.05 0.00962368421052632 -0.000533932651029266
